================================================================================
                          实验结果报告
================================================================================
实验名称: 最小配置 - 全随机初始化+简单变异+无搜索+简化评分
算例名称: 5M80J
运行ID: 3
实验时间: 2026-02-07 12:36:33

【参数配置】
  最大代数: 1000000
  种群规模: 100
  变异率: 0.2
  交叉率: 0.8

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 217534.0000
运行时间: 300034 ms (300.03 秒)
终止代数: 3571

【收敛曲线数据】
代数	Cmax
1	379294.4000
11	327406.4000
21	294379.7000
31	289898.8000
41	285850.8000
51	272571.7000
61	267082.8000
71	259449.0000
81	253466.8000
91	253466.8000
101	253466.8000
111	253466.8000
121	253466.8000
131	251994.8000
141	251994.8000
151	251159.8000
161	251159.8000
171	251159.8000
181	251159.8000
191	251159.8000
201	251159.8000
211	248839.8000
221	248839.8000
231	248839.8000
241	248839.8000
251	248839.8000
261	248839.8000
271	246417.8824
281	243686.1176
291	243686.1176
301	242016.7059
311	241713.1765
321	241713.1765
331	241713.1765
341	241377.4000
351	241377.4000
361	235339.0588
371	233991.8000
381	233991.8000
391	233991.8000
401	233991.8000
411	233991.8000
421	233991.8000
431	233991.8000
441	233991.8000
451	233991.8000
461	233991.8000
471	233991.8000
481	233991.8000
491	233991.8000
501	233991.8000
511	233991.8000
521	233991.8000
531	233991.8000
541	233991.8000
551	233991.8000
561	233991.8000
571	233991.8000
581	233991.8000
591	233991.8000
601	233991.8000
611	233991.8000
621	233991.8000
631	233991.8000
641	233991.8000
651	233991.8000
661	233991.8000
671	233991.8000
681	233991.8000
691	233991.8000
701	233991.8000
711	233991.8000
721	233991.8000
731	233594.8000
741	233594.8000
751	233594.8000
761	233594.8000
771	233594.8000
781	233594.8000
791	233594.8000
801	233594.8000
811	233594.8000
821	233594.8000
831	233594.8000
841	233594.8000
851	233594.8000
861	233594.8000
871	233594.8000
881	233594.8000
891	227129.0000
901	227129.0000
911	227129.0000
921	227129.0000
931	227129.0000
941	227129.0000
951	227129.0000
961	227129.0000
971	227129.0000
981	227129.0000
991	227129.0000
1001	227129.0000
1011	227129.0000
1021	227129.0000
1031	227129.0000
1041	227129.0000
1051	227129.0000
1061	227129.0000
1071	227129.0000
1081	227129.0000
1091	227129.0000
1101	227129.0000
1111	227129.0000
1121	227129.0000
1131	227129.0000
1141	227129.0000
1151	227129.0000
1161	227129.0000
1171	227129.0000
1181	227129.0000
1191	227129.0000
1201	227129.0000
1211	227129.0000
1221	227129.0000
1231	227129.0000
1241	227129.0000
1251	227129.0000
1261	227129.0000
1271	227129.0000
1281	227129.0000
1291	227129.0000
1301	227129.0000
1311	227129.0000
1321	227129.0000
1331	227129.0000
1341	227129.0000
1351	227129.0000
1361	227129.0000
1371	227129.0000
1381	227129.0000
1391	227129.0000
1401	227129.0000
1411	227129.0000
1421	227129.0000
1431	227129.0000
1441	227129.0000
1451	227129.0000
1461	227129.0000
1471	222657.4000
1481	221069.0000
1491	221069.0000
1501	221069.0000
1511	221069.0000
1521	221069.0000
1531	221069.0000
1541	221069.0000
1551	221069.0000
1561	221069.0000
1571	221069.0000
1581	221069.0000
1591	221069.0000
1601	221069.0000
1611	221069.0000
1621	221069.0000
1631	221069.0000
1641	221069.0000
1651	221069.0000
1661	221069.0000
1671	221069.0000
1681	221069.0000
1691	221069.0000
1701	221069.0000
1711	221069.0000
1721	221069.0000
1731	221069.0000
1741	221069.0000
1751	221069.0000
1761	219100.2353
1771	219100.2353
1781	219100.2353
1791	219100.2353
1801	219100.2353
1811	219100.2353
1821	219100.2353
1831	219100.2353
1841	219100.2353
1851	219100.2353
1861	219100.2353
1871	219100.2353
1881	219100.2353
1891	219100.2353
1901	219100.2353
1911	219100.2353
1921	219100.2353
1931	219100.2353
1941	219100.2353
1951	219100.2353
1961	219100.2353
1971	219100.2353
1981	219100.2353
1991	218341.4118
2001	218341.4118
2011	218341.4118
2021	218341.4118
2031	218341.4118
2041	218341.4118
2051	218341.4118
2061	218341.4118
2071	218341.4118
2081	218341.4118
2091	218341.4118
2101	218341.4118
2111	218341.4118
2121	218341.4118
2131	218341.4118
2141	218341.4118
2151	218341.4118
2161	218341.4118
2171	218341.4118
2181	218341.4118
2191	218341.4118
2201	218341.4118
2211	218341.4118
2221	218341.4118
2231	218341.4118
2241	218341.4118
2251	218341.4118
2261	218341.4118
2271	218341.4118
2281	218341.4118
2291	218341.4118
2301	218341.4118
2311	218341.4118
2321	218341.4118
2331	218341.4118
2341	218341.4118
2351	218341.4118
2361	218341.4118
2371	218341.4118
2381	218341.4118
2391	218341.4118
2401	218341.4118
2411	218341.4118
2421	218341.4118
2431	218341.4118
2441	218341.4118
2451	218341.4118
2461	218341.4118
2471	218341.4118
2481	218341.4118
2491	218341.4118
2501	218341.4118
2511	218341.4118
2521	218341.4118
2531	218341.4118
2541	218341.4118
2551	218341.4118
2561	217534.0000
2571	217534.0000
2581	217534.0000
2591	217534.0000
2601	217534.0000
2611	217534.0000
2621	217534.0000
2631	217534.0000
2641	217534.0000
2651	217534.0000
2661	217534.0000
2671	217534.0000
2681	217534.0000
2691	217534.0000
2701	217534.0000
2711	217534.0000
2721	217534.0000
2731	217534.0000
2741	217534.0000
2751	217534.0000
2761	217534.0000
2771	217534.0000
2781	217534.0000
2791	217534.0000
2801	217534.0000
2811	217534.0000
2821	217534.0000
2831	217534.0000
2841	217534.0000
2851	217534.0000
2861	217534.0000
2871	217534.0000
2881	217534.0000
2891	217534.0000
2901	217534.0000
2911	217534.0000
2921	217534.0000
2931	217534.0000
2941	217534.0000
2951	217534.0000
2961	217534.0000
2971	217534.0000
2981	217534.0000
2991	217534.0000
3001	217534.0000
3011	217534.0000
3021	217534.0000
3031	217534.0000
3041	217534.0000
3051	217534.0000
3061	217534.0000
3071	217534.0000
3081	217534.0000
3091	217534.0000
3101	217534.0000
3111	217534.0000
3121	217534.0000
3131	217534.0000
3141	217534.0000
3151	217534.0000
3161	217534.0000
3171	217534.0000
3181	217534.0000
3191	217534.0000
3201	217534.0000
3211	217534.0000
3221	217534.0000
3231	217534.0000
3241	217534.0000
3251	217534.0000
3261	217534.0000
3271	217534.0000
3281	217534.0000
3291	217534.0000
3301	217534.0000
3311	217534.0000
3321	217534.0000
3331	217534.0000
3341	217534.0000
3351	217534.0000
3361	217534.0000
3371	217534.0000
3381	217534.0000
3391	217534.0000
3401	217534.0000
3411	217534.0000
3421	217534.0000
3431	217534.0000
3441	217534.0000
3451	217534.0000
3461	217534.0000
3471	217534.0000
3481	217534.0000
3491	217534.0000
3501	217534.0000
3511	217534.0000
3521	217534.0000
3531	217534.0000
3541	217534.0000
3551	217534.0000
3561	217534.0000
3571	217534.0000

✓ 收敛曲线图已生成: 收敛曲线图.png

【机器负载统计】
  机器 1: 批次数=5, 完工时间=198156.9757
  机器 2: 批次数=2, 完工时间=217542.9265
  机器 3: 批次数=2, 完工时间=215241.7502
  机器 4: 批次数=6, 完工时间=208806.4002
  机器 5: 批次数=2, 完工时间=196889.3775


================================================================================
                         实验结果输出完成
================================================================================
